,,,,,Qualifier Brackets: challonge.com/3dozc0xl,,,,,,
,,,player names and team Elos are in Sheet 2 of this document,,"Main Event Brackets: challonge.com/bqag1j2f
",,,,,,
Round,Date,Time,Teams,Streamer,URL,language,caster,URL,LANGuage,Day,Time
Qualifiers,,,,,,,,,,,
3,,15:00 GMT,Royal fighters  vs LuB Team ,gkt_cloud (POV),www.facebook.com/Aoecloud/,CN,Tinytriss,https://www.twitch.tv/tinytriss,EN,,
3,Sunday May 16,7:30 GMT,"""Un gars une fille"" vs Team Tub-optimal ",sieste, www.twitch.tv/multiples_siestes,FR,,,,,
Main Event,,,,,,,,,,,
4 (GSL BO3),Monday May 17,,,,,,,,,,
4,Tuesday May 18,,,,,,,,,,
4,Wednesday May 19,,,,,,,,,,
4,Thursday May 20,19:00 GMT,big black dock vs Questionable Morels,Akroma,www.twitch.tv/akr0ma,EN,,,,,
4,Friday May 21,,,,,,,,,,
4,Saturday May 22,13:00 GMT,Silly goosies vs I was made for loving you,,,,LilTrouble__,www.twitch.tv/LilTrouble__,EN,Sunday May 23,0900 GMT
4,,14:00 GMT,cloudmunk vs Stepbrothers,Italian Lawyer,https://www.twitch.tv/the_italian_lawyer,IT,,,,,
4,,14:30 GMT,R&B vs LuB team,,,,,,,,
4,,19:00 GMT,Stepbrothers vs I was made for loving you,,,,,,,,
4,,21:00 GMT,Chorpian vs Un Gars Une Fille,sieste, www.twitch.tv/multiples_siestes,FR,,,,,
4,Sunday May 23,10:00 GMT,LaochraGaelFans vs Nellie,LilTrouble__,www.twitch.tv/LilTrouble__,EN,,,,,
,,,,夢夢momo, https://www.twitch.tv/momo52077,CN,,,,,
4,,17:00 GMT,Peaceful Boomers vs CleMic,,,,,,,,
5,Monday May 24,,,,,,,,,,
5,Tuesday May 25,,,,,,,,,,
5,Wednesday May 26,,,,,,,,,,
5,Thursday May 27,,,,,,,,,,
5,Saturday May 29,,,,,,,,,,
5,Sunday May 30,14:00 GMT,Andette vs Questionable Morels ,KrisB,www.twitch.tv/krisb_aoe,EN,,,,,
,,14:00 GMT,Silly Goosies vs Cloudmunk,,,,,,,,
,,14:00 GMT,R&B vs peaceful boomer,,,,,,,,
5,Sunday May 30,15:00 GMT,LuB team vs CleMic,,,,,,,,
5,Monday May 31,18:00 GMT,Un gars une fille vs Nellie,sieste, www.twitch.tv/multiples_siestes,FR,,,,,
,Monday May 31,,,,,,,,,,
5,Tuesday June 1,15:00 GMT,DS_Choripan con Aguacate vs LaochraGaelFans,夢夢momo, www.twitch.tv/momo52077,CN,sieste, www.twitch.tv/multiples_siestes,FR,,10:00 GMT
6,Wednesday June 2,18:00 GMT,DS_Choripan con Aguacate vs Un gars une fille,,,,,,,,
6,Thursday June 3,,,,,,,,,,
6,Friday June 4,,,,,,,,,,
6,Saturday June 5,15:00 GMT,R&B vs Clemic,,,,,,,,
6,Sunday June 6,,,,,,,,,,
6,Monday June 7,15:00 GMT,"Questionable Morels vs De Locos
",,,,,,,,
Quarterfinals,Tuesday June 8,,,,,,,,,,
Quarterfinals,Wednesday June 9,,,,,,,,,,
Quarterfinals,Thursday June 10,,,,,,,,,,
Quarterfinals,Friday June 11,15:00 GMT,Andette vs Silly goosies,,,,,,,,
Quarterfinals,Saturday June 12,14:00 GMT,LuB Team vs un gars une fille,sieste, www.twitch.tv/multiples_siestes,FR,,,,,
Quarterfinals,Sunday June 13,14:00 GMT,Questionable Morels vs Cloudmunk,,,,,,,,
,,,,,,,,,,,
Semi-1 (BO5),Friday June 18,18:00 GMT,Questionable Morels vs Nellie,sieste, www.twitch.tv/multiples_siestes,FR,,,,,
,,,,Tinytriss,www.twitch.tv/tinytriss,EN,,,,,
,,,,oceaningabyss,www.twitch.tv/oceaningabyss ,EN,,,,,
,,,,Lavie_Head (POV),www.twitch.tv/lavie_head,EN,,,,,
,,,,ellie4k (POV),www.twitch.tv/ellie4k,EN,,,,,
,,,,nili (POV),www.twitch.tv/nili_aoe,EN,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Semi-2 (BO5),Saturday June 26,14:00 GMT,Andette vs LuB team,akr0ma,www.twitch.tv/akr0ma,EN,,,,,
,,,,oceaningabyss,www.twitch.tv/oceaningabyss ,EN,,,,,
,,,,sieste, www.twitch.tv/multiples_siestes,FR,,,,,
,,,,Tinytriss,https://www.twitch.tv/tinytriss,EN,,,,,
,,,,夢夢momo (POV), www.twitch.tv/momo52077,CN,,,,,
,,,,Odette (POV),www.twitch.tv/odetted,EN,,,,,
